QUEST_LV_0200_20150317_000001	皮爾力巴斯直屬隊員
QUEST_LV_0200_20150317_000223	你不想知道我是如何突破森嚴的警備站在這裡的嗎？{nl}這是因為我有後台，那些王國軍當中有人為了提高工作業績，就來跟我買 xxx的腳趾甲{nl}可是我並不想跟怪物交手，尤其是A那些傢伙。
QUEST_LV_0200_20150317_000224	你能消滅那些傢伙，幫忙把牠們的腳趾甲帶回來給我嗎？
QUEST_LV_0200_20150317_000225	你好像有什麼誤會的樣子，我們是手持鏟子的考古學家，可不是強盜或掠奪者。
QUEST_LV_0200_20150317_000226	這應該滿值錢的耶？{nl} 真是謝謝你。
QUEST_LV_0200_20150317_000227	如果你想在被石化的都市裡撈些什麼好處，我勸你放棄。{nl}除了我們之外，還有迪庫盜墓團的蠻橫傢伙在。{nl}不過如果你幫我們做事，也許能得到一些獎勵。
QUEST_LV_0200_20150317_000228	前往A區，就能看到裝著迪庫盜墓團從外面帶來的物品的箱子。你能把那些東西帶來給我嗎？{nl}我偷偷看了一下，他們好像還沒回來的樣子。
QUEST_LV_0200_20150317_000229	那些傢伙真的很會動腦筋。他們把從外面帶來的便宜骨董放在會颳起石化霜的地方。{nl}然後就會登登～！ 那些骨董被石化後就會變成滿像樣的東西{nl}聽說大都市的貴族都受騙，而用非常昂貴的價錢把那些東西買下來。
QUEST_LV_0200_20150317_000230	迪庫盜墓團似乎是想做一筆超乎我們想像的大買賣。{nl}數量真的非常驚人。該不會這些傢伙和王國軍是串通好的吧？
QUEST_LV_0200_20150317_000231	在新手雕刻家之間有個物品的售價非常高，那就是石化花。{nl}那些傢伙看到這種花就製作出仿造品，不過其出處就不得而知了。{nl}就算知道來源也沒有好處…
QUEST_LV_0200_20150317_000232	所以啊，你能幫忙收集一些石化花嗎？
QUEST_LV_0200_20150317_000233	我弟弟有一陣子也說想成為雕刻家而很用功念書呢。{nl}雖然4年前的神樹之日過後，就不知道他人在哪裡……{nl}如果他活下來了，應該正在某處雕刻美麗的女神像吧…
QUEST_LV_0200_20150317_000234	看到這個就想到我弟弟…{nl}他現在人在哪裡？在做些什麼呢？{nl}總之，很謝謝你幫忙收集。
QUEST_LV_0200_20150317_000235	我有一個大哥決定來這裡，但我不覺得他會來。他該不會以為我會一個人在這廣大的區域進行作業吧？{nl}不管怎樣，我想他可能發生什麼事了。
QUEST_LV_0200_20150317_000236	大哥正躲在警備所的警備兵之中，把這個刻有暗號的水瓶交給警備兵，大哥就會認出你來並且找你說話。
QUEST_LV_0200_20150317_000237	石化霜很快就會橫掃而過，必須趕緊進行作業。{nl}觀察王國軍撤退的行動，就能知道石化霜開始的地點與時間。{nl}而取得情報最快的方法就是變成王國軍。
QUEST_LV_0200_20150317_000238	噓！ 請降低音量。要是被發現的話，你跟我就完蛋了。
QUEST_LV_0200_20150317_000239	是胡貝爾塔斯這個蠢蛋派你來這裡的嗎？{nl}我已經說過好幾次，這裡的事情結束後就會走。{nl}真沒想到那個蠢蛋會派人來。{nl}這裡發生了很嚴重的問題。
QUEST_LV_0200_20150317_000240	我的家人都在都市外面進不來。{nl}我需要你的幫忙。{nl}背著這些士兵讓家人進入都市是不可能的。{nl}必須讓所有士兵離開這裡。
QUEST_LV_0200_20150317_000241	在A區大鬧。我要把在四周徘徊的薩爾提斯托叫進來。{nl}為此，必須向怪物收集散發香氣的石粉。你辦得到嗎？
QUEST_LV_0200_20150317_000242	我的家人必須比王國軍早一步通過此地才行。{nl}但是不久前石化霜肆虐後，不知道蕾堤亞為何催促，所以這個計劃就行不通了。
QUEST_LV_0200_20150317_000243	就是它沒錯。現在把它撒在這裡，不久後就能看到薩爾提斯托這個大塊頭闖進來。{nl}不過我們的計劃並不是如此！
QUEST_LV_0200_20150317_000244	不能把這裡變成戰場。因為這樣我的家人就不能過了。{nl}我們再動動腦筋吧…
QUEST_LV_0200_20150317_000245	請把這個粉末抹在出現於B區的x怪物身上。{nl}這麼一來，被那些傢伙迷惑的薩爾提斯托就會朝牠們猛撲。{nl}這樣蕾堤亞就不會眼睜睜地看著警備區被侵犯。
QUEST_LV_0200_20150317_000246	我的家人各自有不同的身分。我曾經是一度想成為軍事家的下級將校。{nl}我工作的地區因為4年前的神樹之日而從地圖上消失了。
QUEST_LV_0200_20150317_000247	已經全部用完了嗎？{nl雖然對這些傢伙很抱歉，但現在要開始忙囉！
QUEST_LV_0200_20150317_000248	請去找蕾堤亞，告訴她薩爾提斯托出現後正往這個地方跑來。{nl}儘管她不會相信，但我已經感覺到薩爾提斯托衝過來了。{nl}請趕快行動！
QUEST_LV_0200_20150317_000249	只要告訴她薩爾提斯托正狂奔而來就行了。{nl}她根本不會懷疑我們。
QUEST_LV_0200_20150317_000250	多虧了你，我的家人平安通過這個地方了。{nl}如果你打算繼續在這個地區旅行，我想你應該會發現有趣的真相。{nl}而且你也可能會遇到我的家人。但請你小心迪庫盜墓團。{nl}他們跟我們不一樣，因為那些傢伙從一開始就是強盜。
QUEST_LV_0200_20150317_000251	警備兵 葛普坦
QUEST_LV_0200_20150317_000252	我也不想待在這種地方。這個地方不需要特別保護。{nl}因為上頭指示我支援凱爾利斯騎士團的行動。
QUEST_LV_0200_20150317_000253	你能幫我個忙嗎？{nl}科斯塔斯幾天之內不會回來，所以我不能離開這裡，但我也不能放任怪物橫行肆虐。
QUEST_LV_0200_20150317_000254	上級官員們並不看好凱爾利斯騎士團。{nl}凱爾利斯的人把補給品分給我這種基層人員，而且還提供各種支援，所以我沒理由討厭他們。
QUEST_LV_0200_20150317_000255	第一次來到這裡的時候，我四處閃避石化霜，而4年前的神樹之日以後每天都是危機。{nl}這裡的事情結束後，我一定要提出調職申請。
QUEST_LV_0200_20150317_000256	因凱爾利斯騎士團員科斯塔斯的請求讓王國軍進駐此地還沒多久。{nl}6百年前，經歷災禍後的都市還留有許多原本的面貌。{nl}我的任務之一就是把還留在此地的叛亂軍的記錄處理掉。
QUEST_LV_0200_20150317_000257	科斯塔斯不在所以我不能離開崗位，你能替我辦這件事嗎？{nl}巡查交易區和帕圖歐廣場就能發現許多記錄。
QUEST_LV_0200_20150317_000258	請別把記錄內容放在心上，{nl}因為那全都是胡說八道
QUEST_LV_0200_20150317_000259	我必須負責護衛、善後還有警備，要做的事實在很多，真搞不懂怎麼能叫我一人全部包辦{nl}幸好有你出手相助。
QUEST_LV_0200_20150317_000260	我被派到這裡的幾天前，許多兵力為了支援凱爾利斯騎士團的研究活動，而到此地進行初步勘查。{nl}結果所有人都回不來了。那是因為他們全都慘遭不規律的石化霜攻擊的緣故吧。
QUEST_LV_0200_20150317_000261	長官要我把他們的遺物帶回來，老實說我根本就不敢去。{nl}你能幫幫我嗎？
QUEST_LV_0200_20150317_000262	上層長官可不樂見數十人為了協助支援活動而犧牲。{nl}所以我覺得最近王國軍和凱爾利斯騎士團的關係出現裂痕了。
QUEST_LV_0200_20150317_000263	雖然難以置信，但我也差點就站在那裡了。{nl}幸好當天不是我值班… 光是用想的就很可怕。{nl}我會把它交給遺屬。
QUEST_LV_0200_20150317_000264	你好嗎？旅行者，不知道你經過這裡所為何事…
QUEST_LV_0200_20150317_000265	啊，你就是那個大名鼎鼎的啟示者啊，我聽柯拉佩達的同伴說了好多次呢。{nl}你是依照女神的旨意為了拯救世界而行走四處各地啊？
QUEST_LV_0200_20150317_000266	那麼我就提出一個你有興趣的提案吧。你能協助我調查讓這座石化城恢復原狀的方法嗎？{nl}先把周圍的怪物解決掉吧，我必須安全才能告訴你該怎麼做不是嗎？
QUEST_LV_0200_20150317_000267	柯拉佩達的寒冰法師真是死腦筋而且很傲慢，如果你對我也有那種感覺，那應該是你的錯覺。{nl}我敢斷言，寒冰法師之中沒有人像我這樣既有人性又充滿熱情。
QUEST_LV_0200_20150317_000268	種子曬乾了吧？很好。
QUEST_LV_0200_20150317_000269	來，下個實驗是趁我在這裡尋找魔法陣公式的時候，你把它帶去實驗看看能不能用{nl}使用它時會產生冰牆，你要做的就是確認它對怪物有多少效果。{nl}進行實驗時需要能夠保護我們的安全網，而這就是它的作用。
QUEST_LV_0200_20150317_000270	冰牆出現之後怪物就會蜂擁而上，你就順便把剛才沒消滅的傢伙解決掉吧。
QUEST_LV_0200_20150317_000271	石化霜應該暫時不會出現，{nl}你放心地去一趟吧
QUEST_LV_0200_20150317_000272	效果非常好！ 這樣不管是怪物或啟示者都不能過來了。
QUEST_LV_0200_20150317_000273	從現在開始是很重要的，這項實驗最關鍵之處就是找回恢復石化的強大魔法道具─絲綢的標誌。{nl}愚蠢的王國軍說4年前在這附近遺失了最後一個標誌，應該會在這裡的某個地方吧。{nl}說不定會在怪物的肚子裡呢。
QUEST_LV_0200_20150317_000274	請消滅怪物並從牠們身上取得閃耀的石塊。它會自行發光，你只要帶回來我就會去找你。
QUEST_LV_0200_20150317_000275	愚蠢的王國軍當然不會知道那有多了不起。{nl}應該沒有任何人知道，只有我懂。
QUEST_LV_0200_20150317_000276	你最好祈禱絲綢的標誌會在這些石頭當中。{nl}要是沒有，我真的會非常生氣。
QUEST_LV_0200_20150317_000277	啊！ 你在這啊，這麼容易就能找到的東西，王國軍那些傢伙為什麼找不到啊？{nl}他們的頭只是用來戴頭盔的嗎？總之，我們開始實驗吧。我已經設下魔法陣，你跟我來。
QUEST_LV_0200_20150317_000278	嘿，朋友，你怎麼會來這裡？{nl}你在找工作嗎？{nl}也許是我多管閒事，但你獨來獨往是很危險的。{nl}這話並不是針對你說的。
QUEST_LV_0200_20150317_000279	我必須在商業地區工作，但怪物害我無法單獨作業。{nl}你能幫幫我嗎？
QUEST_LV_0200_20150317_000280	幸虧膽小的迪庫盜墓團還沒到這裡來。{nl}我能帶走的東西有限，但他們卻蜂擁而來，唉…
QUEST_LV_0200_20150317_000281	你已經消滅了那麼多怪物，現在我應該能開始工作了吧？
QUEST_LV_0200_20150317_000282	我現在想去凱洛貝工房，你能在我工作的時候幫助我嗎？{nl}工作由我來做，你只要跟著我走幫忙對付怪物就行了。
QUEST_LV_0200_20150317_000283	多虧有你，我已經補給夠了，將來幾天我應該不必四處走動{nl}我打算一直在這裡等到同伴來為止。
QUEST_LV_0200_20150317_000284	請你在我準備的期間，消滅用來當做實驗場所的軍事地區的怪物和盜墓者。{nl}要是被干擾或被發現就糟糕了。
QUEST_LV_0200_20150317_000285	這座城的上方還算安全。只要稍微離開這裡，四處都是怪物和盜墓者。
QUEST_LV_0200_20150317_000286	你把實驗場所全都整理好啦。做得非常好。
QUEST_LV_0200_20150317_000287	我會從這裡的高處一面俯瞰一面進行實驗。{nl}請你靠近傳點準備開始進行實驗。
QUEST_LV_0200_20150317_000288	應該不會有什麼事。一切都是影像，絕對不會來到這個世界。
QUEST_LV_0200_20150317_000289	荒謬的事發生了。那到底是什麼？{nl}我絕對不相信時空法師。是過去干擾未來嗎？還是未來干擾過去呢？
QUEST_LV_0200_20150317_000290	我必須繼續在這裡調整通往大地要塞的傳點。
QUEST_LV_0200_20150317_000291	副官 漢斯
QUEST_LV_0200_20150317_000292	我開始與盜墓者合作並沒有多久。{nl}在當今的世界上，背著王國軍支援他們就跟冒著生命危險沒什麼兩樣。{nl}但我有什麼辦法呢？我也是聽命行事啊…
QUEST_LV_0200_20150317_000293	那些傢伙會經過市中心街道入口，{nl}所以當然會遇到怪物。我想這應該會發生大騷動並且被警備兵察覺。{nl}請你先在該處下手。和迪庫盜墓團不同的是，他們不願意欠人人情，因此也許對你的旅程會有所幫助。
QUEST_LV_0200_20150317_000294	那些傢伙並不是只有一、兩個，而且不知道他們什麼時候會經過。{nl}為了不讓問題發生，我正不斷地提供幫助。
QUEST_LV_0200_20150317_000295	你消滅怪物了嗎？警備兵問我出了什麼亂子，所以我說了你的事。{nl}應該不會有什麼問題。
QUEST_LV_0200_20150317_000296	請別忘了。我們在這裡幫助盜墓者們的事要對王國軍保密。{nl}被他們知道可是會沒命的。
QUEST_LV_0200_20150317_000297	你必須讓斯提波納斯進入市中心街道。{nl}他答應幫忙取得對研究石化霜有幫助的霜核。{nl}為此，必須甩開警備兵才行。
QUEST_LV_0200_20150317_000298	警備兵正私下向騎士團收取補給品。我把補給品給你，請你讓怪物的氣味沾到這些補給品上。{nl}然後請把補給品交給河口堤的警備兵。如此一來就會發生大騷亂。
QUEST_LV_0200_20150317_000299	被怪物襲擊一兩次之後，他們就會縮小警戒範圍，{nl}不然就是帶領大規模軍隊進入。{nl}不過依王國的情況，應該沒辦法那樣做。
QUEST_LV_0200_20150317_000300	警備兵聞到味道了嗎？{nl}應該是注意到怪物的氣味了吧。
QUEST_LV_0200_20150317_000301	石鯨怪很快就會撲向警備兵。{nl}請你假裝關心他們並使其離開三岔路口。{nl}這樣斯提波納斯就能偷偷經過那邊了。
QUEST_LV_0200_20150317_000302	羅普戴爾應該正在瞭望台上看守，但今天的視線不佳，應該不會採取措施。
QUEST_LV_0200_20150317_000303	斯提波納斯平安經過了。{nl}那位朋友在找你呢。請過去幫助他。{nl}警備兵應該不會對羅普戴爾提起我們的名字。{nl}因為他們至今收取補給品的行為是有違軍法的。
QUEST_LV_0200_20150317_000304	騎士團總部正在收集王國軍來不及處理掉的過去的記錄。{nl}如果你也看過幾次，應該有發現什麼不對勁吧？
QUEST_LV_0200_20150317_000305	王國軍讚揚昔日偉大的宰相普利米歐艾米諾特，散布著攏絡盜墓者的傳單。{nl}請你幫忙把那傳單拿回來給我。和我們所收集的史料比對之後，一定會發現弱點。
QUEST_LV_0200_20150317_000306	從4年前開始，王國軍徵兵不順利時，就以外部的流民或內部的盜墓者為對象散布這種傳單，藉此勸他們加入王國軍。{nl}當世界變好之後，不用看也知道他們會被當做奴隸看待。
QUEST_LV_0200_20150317_000307	原來是這種內容啊。為了讓無知的人把這令人慚愧的內容看成英雄史詩，寫得還真棒。{nl}我要把這傳單送到騎士團總部。
QUEST_LV_0200_20150317_000308	你就是替我製造機會的恩人。{nl}你充分理解漢斯那魯莽的想法並且付諸實行，值得得到掌聲，但是我必須不動聲色，請接受我的心意。
QUEST_LV_0200_20150317_000309	我答應凱爾利斯騎士團幫忙尋找霜核，叫你過來就是為了這件事。{nl}但我沒聽說過警備兵的警戒那麼森嚴！ 變更作戰
QUEST_LV_0200_20150317_000310	我們所找的霜核正在森林石怪的體內蕩漾，如果想把它取出就需要非常猛烈的炸彈。{nl}請你在水磨坊廢墟周圍消滅怪物，並且把火藥石帶過來，我會把它加工製造成有用的東西。
